web-scraper-order,web-scraper-start-url,link,link-href,title,area,price,rooms,address,advertiser
"1598196122-1732","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=23&rows=100","ab 1.12.2020 beziehbar: Nähe FH: 3 Zimmer-Wohnung--2er WG geeignet,","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/ab-1-12-2020-beziehbar-naehe-fh-3-zimmer-wohnung-2er-wg-geeignet-392882277/","ab 1.12.2020 beziehbar: Nähe FH: 3 Zimmer-Wohnung--2er WG geeignet,","61 m","638,94","3 Zimmer","8020
    
    
        Graz","Brandstätter Immobilien GmbH"
"1598196116-1502","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=25&rows=100","Lend: Sonnige 2-Zimmerwohnung in bester Lage! NEUBAU - ERSTBEZUG !","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/lend-sonnige-2-zimmerwohnung-in-bester-lage-neubau-erstbezug-392438832/","Lend: Sonnige 2-Zimmerwohnung in bester Lage! NEUBAU - ERSTBEZUG !","43 m","665,-","2 Zimmer","8020
    
    
        Graz","Rustler Immobilientreuhand GesmbH"
"1598196130-2047","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=20&rows=100","WG-taugliche 2-Zimmer-Küche-Wohnung","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/wg-taugliche-2-zimmer-kueche-wohnung-401202670/","WG-taugliche 2-Zimmer-Küche-Wohnung","55 m","645,-","2 Zimmer","8010
    
    
        Graz","grazial.at - Ihre Immobilienvermittlung"
"1598196124-1869","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=22&rows=100","Warten Sie nicht länger! Moderne 2 Zimmer mit top Ausstattung und Balkon! Innovatives Wohnen im Grazer...","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/warten-sie-nicht-laenger-moderne-2-zimmer-mit-top-ausstattung-und-balkon-innovatives-wohnen-im-grazer-bezirk-lend-naehe-hauptbahnhof-399604955/","Warten Sie nicht länger! Moderne 2 Zimmer mit top Ausstattung und Balkon! Innovatives Wohnen im Grazer...","34 m","499,-","2 Zimmer","8020
    
    
        Graz","teamneunzehn.at Immobilienmanagement GmbH & Co KG"
"1598196175-3585","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=4&rows=100","Neubau - Zentrum/ Annenviertel - 35m² - 2 Zimmer - Gartenwohnung mit Terrasse","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/neubau-zentrum-annenviertel-35m-2-zimmer-gartenwohnung-mit-terrasse-401787482/","Neubau - Zentrum/ Annenviertel - 35m² - 2 Zimmer - Gartenwohnung mit Terrasse","34 m","494,95","2 Zimmer","8020
    
    
        Gries","C&P Immobilien AG"
"1598196105-1159","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=29&rows=100","Graz-Straßgang: 3 Zimmer Maisonette mit 12 qm West-Terrasse","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/graz-strassgang-3-zimmer-maisonette-mit-12-qm-west-terrasse-398158082/","Graz-Straßgang: 3 Zimmer Maisonette mit 12 qm West-Terrasse","67 m","697,-","3 Zimmer","8053
    
    
        Graz","Hier Zuhause e.U."
"1598196119-1651","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=24&rows=100","Helle Singlewohnung mit franz. Balkon u. PP in Andritz","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/helle-singlewohnung-mit-franz-balkon-u-pp-in-andritz-392600021/","Helle Singlewohnung mit franz. Balkon u. PP in Andritz","37 m","424,79","1 Zimmer","8010
    
    
        Graz","Prima4you Immobilien"
"1598196090-611","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=34&rows=100","Sonnige 5-Zimmerwohnung ruhiger Geidorfer Lage/ Vogelweiderstrasse","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/sonnige-5-zimmerwohnung-ruhiger-geidorfer-lage-vogelweiderstrasse-396946864/","Sonnige 5-Zimmerwohnung ruhiger Geidorfer Lage/ Vogelweiderstrasse","120 m","1.298,06","5 Zimmer","8010
    
    
        Graz","Mag. Stefan Gaspar Realitäten Management KG"
"1598196110-1376","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=27&rows=100","Perfekte 3er-WG","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/perfekte-3er-wg-236018817/","Perfekte 3er-WG","88 m","949,15","4 Zimmer","8010
    
    
        Graz","GRAWE IMMOBILIEN Verwaltungs GmbH"
"1598196150-2716","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=13&rows=100","Anfrage zu 55 m² / 3 Zimmer / 2 OG / großer Balkon / Innenhoflage","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/anfrage-zu-55-m-3-zimmer-2-og-grosser-balkon-innenhoflage-401339229/","Anfrage zu 55 m² / 3 Zimmer / 2 OG / großer Balkon / Innenhoflage","55 m","799,-","3 Zimmer","8020
    
    
        Graz","Privat"
"1598196107-1237","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=28&rows=100","Friedrichgasse 3-Zimmer Wohnung","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/friedrichgasse-3-zimmer-wohnung-398401396/","Friedrichgasse 3-Zimmer Wohnung","75 m","1.098,-","3 Zimmer","8010
    
    
        Graz","Privat"
"1598196105-1110","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=29&rows=100","Ruhig gelegene 2-Zimmer-Wohnung im Erdgeschoß - 8010 Graz zu mieten","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/ruhig-gelegene-2-zimmer-wohnung-im-erdgeschoss-8010-graz-zu-mieten-135210373/","Ruhig gelegene 2-Zimmer-Wohnung im Erdgeschoß - 8010 Graz zu mieten","45 m","545,-","2 Zimmer","8010
    
    
        Graz","ÖRAG Immobilien Vermittlung GmbH"
"1598196107-1245","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=28&rows=100","Große helle 3 Zimmerwohung mit schönem Westbalkon - Provisionsfrei - Erstbezug","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/grosse-helle-3-zimmerwohung-mit-schoenem-westbalkon-provisionsfrei-erstbezug-374959214/","Große helle 3 Zimmerwohung mit schönem Westbalkon - Provisionsfrei - Erstbezug","80 m","845,19","3 Zimmer","8020
    
    
        Graz","afb immobilientreuhand gmbh"
"1598196093-737","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=33&rows=100","Pärchenwohnung, 70 m2 - unmöbliert!","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/paerchenwohnung-70-m2-unmoebliert-397129474/","Pärchenwohnung, 70 m2 - unmöbliert!","70 m","605,-","2 Zimmer","8020
    
    
        Graz","Privat"
"1598196082-353","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=37&rows=100","Nähe TU: Wunderschöne sanierte 3 Zimmerwohnung im Herzen von Graz Provisionsfrei zu vermieten","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/naehe-tu-wunderschoene-sanierte-3-zimmerwohnung-im-herzen-von-graz-provisionsfrei-zu-vermieten-399537520/","Nähe TU: Wunderschöne sanierte 3 Zimmerwohnung im Herzen von Graz Provisionsfrei zu vermieten","86 m","1.200,14","3 Zimmer","8010
    
    
        Innere Stadt","Steindorff Immobilien GmbH"
"1598196119-1629","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=24&rows=100","Garconniere ab 1.7. direkt neben TU-Infeld","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/garconniere-ab-1-7-direkt-neben-tu-infeld-386295738/","Garconniere ab 1.7. direkt neben TU-Infeld","28 m","399,-","1 Zimmer","8010
    
    
        Jakomini","IPS - Immobilien Partner Steiermark"
"1598196090-651","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=34&rows=100","Studenten Garconnière bei Uni","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/studenten-garconniere-bei-uni-377038501/","Studenten Garconnière bei Uni","43 m","496,99","1 Zimmer","8010
    
    
        Graz","grazial.at - Ihre Immobilienvermittlung"
"1598196133-2135","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=19&rows=100","MODERNES WOHNEN IN TOP GRAZER LAGE - GROSSZÜGIGE 2 ZIMMER WOHNUNG MIT BALKON","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/modernes-wohnen-in-top-grazer-lage-grosszuegige-2-zimmer-wohnung-mit-balkon-400177009/","MODERNES WOHNEN IN TOP GRAZER LAGE - GROSSZÜGIGE 2 ZIMMER WOHNUNG MIT BALKON","61 m","823,90","2 Zimmer","8020
    
    
        Graz","teamneunzehn.at Immobilienmanagement GmbH & Co KG"
"1598196133-2095","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=19&rows=100","2 Zimmer Wohnung in Graz - Lend zu vermieten","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/2-zimmer-wohnung-in-graz-lend-zu-vermieten-393766085/","2 Zimmer Wohnung in Graz - Lend zu vermieten","43 m","580,-","null","8020
    
    
        Graz","Mag. Maier Immobilien"
"1598196090-665","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=34&rows=100","Innenstadt: großzügige 2 Zimmer-Dachgeschosswohnung","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/innenstadt-grosszuegige-2-zimmer-dachgeschosswohnung-289047624/","Innenstadt: großzügige 2 Zimmer-Dachgeschosswohnung","81 m","692,-","2 Zimmer","8010
    
    
        Innere Stadt","IMMOGRAZ"
"1598196164-3190","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=8&rows=100","3 Zimmer Wohnung im 3. OG mit Balkon!","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/3-zimmer-wohnung-im-3-og-mit-balkon-260599012/","3 Zimmer Wohnung im 3. OG mit Balkon!","79 m","1.019,56","3 Zimmer","8020
    
    
        Graz","BEWO Besser Wohnen"
"1598196167-3321","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=7&rows=100","> NÄHE FH JOHANNEUM > KEIN VERMITTLUNGSHONORAR > SONNIGE LOGGIAWOHNUNG","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/-naehe-fh-johanneum-gt-kein-vermittlungshonorar-sonnige-loggiawohnung-402427449/","> NÄHE FH JOHANNEUM > KEIN VERMITTLUNGSHONORAR > SONNIGE LOGGIAWOHNUNG","79 m","945,85","3 Zimmer","8020
    
    
        Graz","DECUS Immobilien GmbH"
"1598196124-1797","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=22&rows=100","Geidorf - 61m² - 3 Zimmer - Loggia","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/geidorf-61m-3-zimmer-loggia-402230119/","Geidorf - 61m² - 3 Zimmer - Loggia","61 m","883,52","3 Zimmer","8010
    
    
        Geidorf","C&P Immobilien AG"
"1598196102-1054","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=30&rows=100","Schöne 2-Zimmer Wohnung in der Hüttenbrennergasse","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/schoene-2-zimmer-wohnung-in-der-huettenbrennergasse-378192342/","Schöne 2-Zimmer Wohnung in der Hüttenbrennergasse","49 m","541,82","2 Zimmer","8010
    
    
        Graz","GRAWE IMMOBILIEN Verwaltungs GmbH"
"1598196147-2634","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=14&rows=100","2-Zimmer-Wohnung in Graz, Vinzenz-Muchitsch-Straße 47 ab Oktober 2020 verfügbar - provisionsfrei!","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/2-zimmer-wohnung-in-graz-vinzenz-muchitsch-strasse-47-ab-oktober-2020-verfuegbar-provisionsfrei-401152225/","2-Zimmer-Wohnung in Graz, Vinzenz-Muchitsch-Straße 47 ab Oktober 2020 verfügbar - provisionsfrei!","52 m","428,18","2 Zimmer","8020
    
    
        Gries","GWS"
"1598196087-563","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=35&rows=100","Schöne Dachgeschosswohnung - Nähe Jakominiplatz!","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/schoene-dachgeschosswohnung-naehe-jakominiplatz-335450964/","Schöne Dachgeschosswohnung - Nähe Jakominiplatz!","47 m","541,41","1 Zimmer","8010
    
    
        Graz","Schauersberg Immobilien GmbH"
"1598196127-1938","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=21&rows=100","Provisionsfrei / MIETE / Auch Kurzzeitmiete / Zwischenmiete / Sehr schöne, ruhige, sehr helle...","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/provisionsfrei-miete-auch-kurzzeitmiete-zwischenmiete-sehr-schoene-ruhige-sehr-helle-kleinwohnung-mit-lift-in-geidorf-fischergasse-9-393764153/","Provisionsfrei / MIETE / Auch Kurzzeitmiete / Zwischenmiete / Sehr schöne, ruhige, sehr helle...","40 m","525,-","1 Zimmer","8010
    
    
        Graz","Privat"
"1598196181-3874","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=2&rows=100","2 Zimmerwohnung mit Parkplatz in Ruhelage St. Peter!","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/2-zimmerwohnung-mit-parkplatz-in-ruhelage-st-peter-389422886/","2 Zimmerwohnung mit Parkplatz in Ruhelage St. Peter!","46 m","554,14","2 Zimmer","8042
    
    
        Graz","Check Immosicherungen GmbH"
"1598196110-1302","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=27&rows=100","HIER GEHT EINEM DAS WÜNSCHEN AUS! ERSTKLASSIGE 2 ZIMMER NEUBAUWOHNUNG! TOP INNENAUSSTATTUNG...","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/hier-geht-einem-das-wuenschen-aus-erstklassige-2-zimmer-neubauwohnung-top-innenausstattung-inkl-moderner-einbaukueche-398812625/","HIER GEHT EINEM DAS WÜNSCHEN AUS! ERSTKLASSIGE 2 ZIMMER NEUBAUWOHNUNG! TOP INNENAUSSTATTUNG...","54 m","716,21","2 Zimmer","8020
    
    
        Graz","teamneunzehn.at Immobilienmanagement GmbH & Co KG"
"1598196133-2103","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=19&rows=100","kürzlich sanierte 3-Zimmer-Altbauwohnung mit Balkon in Geidorf - ab 01.10.2020","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/kuerzlich-sanierte-3-zimmer-altbauwohnung-mit-balkon-in-geidorf-ab-01-10-2020-400198939/","kürzlich sanierte 3-Zimmer-Altbauwohnung mit Balkon in Geidorf - ab 01.10.2020","81 m","875,60","3 Zimmer","8010
    
    
        Graz","First-Class Realitäten GmbH"
"1598196139-2374","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=17&rows=100","Mietwohnung am Entenplatz, Murnähe","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/mietwohnung-am-entenplatz-murnaehe-398860475/","Mietwohnung am Entenplatz, Murnähe","65 m","690,-","2 Zimmer","8020
    
    
        Gries","Immobilienglück e.U."
"1598196164-3179","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=8&rows=100","> IM ERSTBEZUG > 3 ZIMMERWOHNUNG > PROVISIONSFREI","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/-im-erstbezug-gt-3-zimmerwohnung-provisionsfrei-402329799/","> IM ERSTBEZUG > 3 ZIMMERWOHNUNG > PROVISIONSFREI","82 m","969,57","3 Zimmer","8020
    
    
        Graz","DECUS Immobilien GmbH"
"1598196161-3156","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=9&rows=100","Perfekt aufgeteilt und PROVISIONSFREI!!","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/perfekt-aufgeteilt-und-provisionsfrei-401731054/","Perfekt aufgeteilt und PROVISIONSFREI!!","47 m","495,-","2 Zimmer","8020
    
    
        Graz","Reichert Immobilien GmbH"
"1598196113-1475","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=26&rows=100","2-Zi. mit Balkontraum in Smart City Süd zu mieten!","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/2-zi-mit-balkontraum-in-smart-city-sued-zu-mieten-372344552/","2-Zi. mit Balkontraum in Smart City Süd zu mieten!","34 m","519,90","2 Zimmer","8020
    
    
        Graz","Smart City Süd"
"1598196158-3039","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=10&rows=100","(reserviert) Renovierte Altbauwohnung 2 Schlafzimmer WG geeignet, Mur-Nähe","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/renovierte-altbauwohnung-2-schlafzimmer-wg-geeignet-mur-naehe-401608441/","(reserviert) Renovierte Altbauwohnung 2 Schlafzimmer WG geeignet, Mur-Nähe","78 m","619,-","3 Zimmer","8020
    
    
        Lend","Privat"
"1598196161-3165","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=9&rows=100","Schöne Mietwohnung in Mariagrün","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/schoene-mietwohnung-in-mariagruen-401718055/","Schöne Mietwohnung in Mariagrün","60 m","790,-","3 Zimmer","8043
    
    
        Mariatrost","Privat"
"1598196136-2204","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=18&rows=100","Ruckerlberg: 3 -Zimmer-Wohnung, Balkon-Weitblick, PKW-Abstellplatz","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/ruckerlberg-3-zimmer-wohnung-balkon-weitblick-pkw-abstellplatz-387596940/","Ruckerlberg: 3 -Zimmer-Wohnung, Balkon-Weitblick, PKW-Abstellplatz","77 m","836,29","3 Zimmer","8010
    
    
        Graz","Brandstätter Immobilien GmbH"
"1598196099-946","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=31&rows=100","Mietwohnung nähe Kunsthaus","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/mietwohnung-naehe-kunsthaus-348111174/","Mietwohnung nähe Kunsthaus","63 m","608,65","2 Zimmer","8020
    
    
        Graz","Schauersberg Immobilien GmbH"
"1598196105-1114","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=29&rows=100","Hübsche 2 Zimmer-Wohnung in Ruhelage und Zentrumsnähe","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/huebsche-2-zimmer-wohnung-in-ruhelage-und-zentrumsnaehe-337152866/","Hübsche 2 Zimmer-Wohnung in Ruhelage und Zentrumsnähe","51 m","629,01","2 Zimmer","8020
    
    
        Graz","ASW Immobilien Service & Consulting GmbH"
"1598196116-1574","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=25&rows=100","Leistbare 3 Zimmer Genossenschaftswohnung - Ersbezug - Provisionsfrei","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/leistbare-3-zimmer-genossenschaftswohnung-ersbezug-provisionsfrei-398962689/","Leistbare 3 Zimmer Genossenschaftswohnung - Ersbezug - Provisionsfrei","67 m","747,67","3 Zimmer","8020
    
    
        Graz","afb immobilientreuhand gmbh"
